rang,nom,market_cap_(Mds_EUR),pays
167,Bandwidth,0.38,USA
168,WideOpenWest,0.37,USA
169,Anterix,0.34,USA
170,ATN International,0.29,USA
171,Intracom Holdings,0.28,Grèce
172,Orbit Communication Systems,0.28,Israël
173,Ooma,0.26,USA
174,Hayat Communications Company,0.26,Koweït
175,Bredband2 i Skandinavien AB,0.25,Suède
176,Spok Holdings,0.23,USA
177,Síminn hf.,0.23,Islande
178,Smartoptics Group,0.22,Norvège
179,Slam Corp,0.22,USA
180,Mahanagar Telephone Nigam,0.21,Inde
181,Hathway,0.20,Inde
182,RADCOM,0.18,Israël
183,Sasken Technologies,0.16,Inde
184,Nelco,0.15,Inde
185,Intred,0.14,Italie
186,GTL Infrastructure,0.14,Inde
187,Vecima Networks,0.14,Canada
188,Sangoma Technologies,0.14,Canada
189,CM.com,0.14,Pays-Bas
190,Ascom Holding,0.14,Suisse
191,Sudatel Telecommunications Group,0.13,Sudan
192,Dominion Hosting,0.11,Italie
193,GTPL Hathway,0.10,Inde
194,Nova Klúbburinn,0.10,Islande
195,Zain Bahrain,0.10,Bahreïn
